lapNo,No,gap,time,,,,,,,,,,,,
23,14,35.217,1:13.268,,,,,,,,,,,,
23,27,36.061,1:13.324,,,,,,,,,,,,
23,11,36.597,1:11.762,,,,,,,,,,,,
23,55,37.924,1:12.143,,,,,,,,,,,,
23,88,40.123,1:12.318,,,,,,,,,,,,
23,20,43.234,1:12.514,,,,,,,,,,,,
23,19,45.335,1:12.578,,,,,,,,,,,,
23,30,46.206,1:13.918,,,,,,,,,,,,
23,94,PIT,1:18.879,,,,,,,,,,,,
23,9,51.980,1:12.339,,,,,,,,,,,,
23,21,57.887,1:11.735,,,,,,,,,,,,
24,5,0,1:11.845,,,,,,,,,,,,
24,6,4.448,1:10.161,,,,,,,,,,,,
24,44,9.458,1:10.096,,,,,,,,,,,,
24,33,10.679,1:10.765,,,,,,,,,,,,
24,3,14.068,1:10.765,,,,,,,,,,,,
24,7,16.035,1:11.277,,,,,,,,,,,,
24,8,29.325,1:12.539,,,,,,,,,,,,
24,22,29.993,1:12.158,,,,,,,,,,,,
24,77,32.445,1:11.928,,,,,,,,,,,,
24,12,35.375,1:12.476,,,,,,,,,,,,
24,14,35.844,1:12.472,,,,,,,,,,,,
24,11,38.046,1:13.294,,,,,,,,,,,,
24,55,38.408,1:12.329,,,,,,,,,,,,
24,27,PIT,1:16.413,,,,,,,,,,,,
24,88,40.630,1:12.352,,,,,,,,,,,,
24,20,43.439,1:12.050,,,,,,,,,,,,
24,19,45.149,1:11.659,,,,,,,,,,,,
24,30,46.342,1:11.981,,,,,,,,,,,,
24,9,52.092,1:11.957,,,,,,,,,,,,
24,21,57.393,1:11.351,,,,,,,,,,,,
25,5,0,1:11.619,,,,,,,,,,,,
25,94,1 LAP,1:34.476,,,,,,,,,,,,
25,6,2.882,1:10.053,,,,,,,,,,,,
25,44,7.920,1:10.081,,,,,,,,,,,,
25,33,9.635,1:10.575,,,,,,,,,,,,
25,3,13.044,1:10.595,,,,,,,,,,,,
25,7,15.429,1:11.013,,,,,,,,,,,,
25,22,29.974,1:11.600,,,,,,,,,,,,
25,8,31.120,1:13.414,,,,,,,,,,,,
25,77,32.779,1:11.953,,,,,,,,,,,,
25,12,35.783,1:12.027,,,,,,,,,,,,
25,14,36.412,1:12.187,,,,,,,,,,,,
25,11,38.216,1:11.789,,,,,,,,,,,,
25,55,39.091,1:12.302,,,,,,,,,,,,
25,88,40.983,1:11.972,,,,,,,,,,,,
25,20,43.830,1:12.010,,,,,,,,,,,,
25,19,45.146,1:11.616,,,,,,,,,,,,
25,30,46.715,1:11.992,,,,,,,,,,,,
25,9,52.602,1:12.129,,,,,,,,,,,,
25,27,57.774,1:28.764,,,,,,,,,,,,
25,21,58.283,1:12.509,,,,,,,,,,,,
26,5,0,1:11.930,,,,,,,,,,,,
26,6,1.215,1:10.263,,,,,,,,,,,,
26,94,1 LAP,1:12.831,,,,,,,,,,,,
26,44,5.955,1:09.965,,,,,,,,,,,,
26,33,8.060,1:10.355,,,,,,,,,,,,
26,3,11.597,1:10.483,,,,,,,,,,,,
26,7,14.110,1:10.611,,,,,,,,,,,,
26,77,39.551,1:18.702,,,,,,,,,,,,
26,22,PIT,1:22.704,,,,,,,,,,,,
26,8,PIT,1:23.116,,,,,,,,,,,,
26,12,45.784,1:21.931,,,,,,,,,,,,
26,14,PIT,1:23.250,,,,,,,,,,,,
26,11,PIT,1:23.198,,,,,,,,,,,,
26,55,50.617,1:23.456,,,,,,,,,,,,
26,88,52.444,1:23.391,,,,,,,,,,,,
26,20,55.433,1:23.533,,,,,,,,,,,,
26,19,56.682,1:23.466,,,,,,,,,,,,
26,30,60.264,1:25.479,,,,,,,,,,,,
26,9,68.119,1:27.447,,,,,,,,,,,,
26,27,74.483,1:28.639,,,,,,,,,,,,
26,21,75.606,1:29.253,,,,,,,,,,,,
27,6,0,1:36.256,,,,,,,,,,,,
27,94,1 LAP,1:38.582,,,,,,,,,,,,
27,44,9.460,1:40.976,,,,,,,,,,,,
27,33,10.355,1:39.766,,,,,,,,,,,,
27,3,14.521,1:40.395,,,,,,,,,,,,
27,7,18.994,1:42.355,,,,,,,,,,,,
27,77,42.176,1:40.096,,,,,,,,,,,,
27,12,47.579,1:39.266,,,,,,,,,,,,
27,55,51.369,1:38.223,,,,,,,,,,,,
27,22,58.221,1:54.944,,,,,,,,,,,,
27,8,59.122,1:54.287,,,,,,,,,,,,
27,20,59.979,1:42.017,,,,,,,,,,,,
27,88,PIT,1:45.070,,,,,,,,,,,,
27,19,60.649,1:41.438,,,,,,,,,,,,
27,30,61.754,1:38.961,,,,,,,,,,,,
27,14,63.104,1:52.843,,,,,,,,,,,,
27,11,64.184,1:52.171,,,,,,,,,,,,
27,9,69.655,1:39.007,,,,,,,,,,,,
27,27,75.156,1:38.144,,,,,,,,,,,,
27,21,76.328,1:38.193,,,,,,,,,,,,
28,6,PIT,2:14.966,,,,,,,,,,,,
28,94,PIT,2:12.265,,,,,,,,,,,,
28,44,PIT,2:08.576,,,,,,,,,,,,
28,33,PIT,2:08.948,,,,,,,,,,,,
28,3,PIT,2:06.463,,,,,,,,,,,,
28,7,PIT,2:04.776,,,,,,,,,,,,
28,77,PIT,1:42.757,,,,,,,,,,,,
28,12,PIT,1:39.075,,,,,,,,,,,,
28,55,PIT,1:36.359,,,,,,,,,,,,
28,22,PIT,1:32.156,,,,,,,,,,,,
28,8,PIT,1:33.762,,,,,,,,,,,,
28,20,PIT,1:35.323,,,,,,,,,,,,
28,19,PIT,1:35.719,,,,,,,,,,,,
28,30,PIT,1:35.628,,,,,,,,,,,,
28,14,PIT,1:35.480,,,,,,,,,,,,
28,11,PIT,1:35.488,,,,,,,,,,,,
28,9,PIT,1:31.864,,,,,,,,,,,,
28,27,PIT,1:27.152,,,,,,,,,,,,
28,21,PIT,1:28.912,,,,,,,,,,,,
28,88,PIT,1:47.413,,,,,,,,,,,,
29,6,PIT,2:05.830,,,,,,,,,,,,
29,94,PIT,2:05.661,,,,,,,,,,,,
29,44,PIT,2:05.144,,,,,,,,,,,,
29,33,PIT,2:05.379,,,,,,,,,,,,
29,3,PIT,2:05.130,,,,,,,,,,,,
29,7,PIT,2:04.902,,,,,,,,,,,,
29,77,PIT,2:05.037,,,,,,,,,,,,
29,12,PIT,2:05.198,,,,,,,,,,,,
29,22,PIT,2:03.936,,,,,,,,,,,,
29,8,PIT,2:03.007,,,,,,,,,,,,
29,20,PIT,2:01.705,,,,,,,,,,,,
29,19,PIT,2:01.539,,,,,,,,,,,,
29,30,PIT,2:01.877,,,,,,,,,,,,
29,14,PIT,2:01.943,,,,,,,,,,,,
29,11,PIT,2:01.852,,,,,,,,,,,,
29,9,PIT,2:02.566,,,,,,,,,,,,
29,27,PIT,2:02.539,,,,,,,,,,,,
29,55,PIT,2:18.173,,,,,,,,,,,,
29,21,PIT,2:01.814,,,,,,,,,,,,
29,88,PIT,2:01.407,,,,,,,,,,,,
29,94,97.597,1:36.516,,,,,,,,,,,,
30,6,0,1:59.642,,,,,,,,,,,,
30,44,0.938,1:58.196,,,,,,,,,,,,
30,33,2.338,1:58.094,,,,,,,,,,,,
30,3,3.022,1:57.346,,,,,,,,,,,,
30,7,4.287,1:56.053,,,,,,,,,,,,
30,77,5.053,1:55.521,,,,,,,,,,,,
30,12,6.008,1:54.594,,,,,,,,,,,,
30,22,7.779,1:53.904,,,,,,,,,,,,
30,8,9.569,1:54.116,,,,,,,,,,,,
30,20,10.350,1:53.781,,,,,,,,,,,,
30,19,11.364,1:53.895,,,,,,,,,,,,
30,30,12.168,1:53.347,,,,,,,,,,,,
30,14,13.250,1:53.161,,,,,,,,,,,,
30,11,14.385,1:53.299,,,,,,,,,,,,
30,9,15.838,1:52.191,,,,,,,,,,,,
30,27,16.512,1:52.103,,,,,,,,,,,,
30,55,17.495,1:52.032,,,,,,,,,,,,
30,21,18.309,1:51.693,,,,,,,,,,,,
30,88,19.762,1:51.337,,,,,,,,,,,,
30,94,50.875,1:12.920,,,,,,,,,,,,
31,6,0,1:44.070,,,,,,,,,,,,
31,44,0.723,1:43.855,,,,,,,,,,,,
31,33,1.212,1:42.944,,,,,,,,,,,,
31,3,1.547,1:42.595,,,,,,,,,,,,
31,7,1.933,1:41.716,,,,,,,,,,,,
31,77,2.500,1:41.517,,,,,,,,,,,,
31,12,3.002,1:41.064,,,,,,,,,,,,
31,22,3.481,1:39.772,,,,,,,,,,,,
31,8,3.880,1:38.381,,,,,,,,,,,,
31,20,4.227,1:37.947,,,,,,,,,,,,
31,19,4.454,1:37.160,,,,,,,,,,,,
31,30,5.064,1:36.966,,,,,,,,,,,,
31,14,5.093,1:35.913,,,,,,,,,,,,
31,11,5.215,1:34.900,,,,,,,,,,,,
31,9,5.612,1:33.844,,,,,,,,,,,,
31,27,5.753,1:33.311,,,,,,,,,,,,
31,55,6.202,1:32.777,,,,,,,,,,,,
31,21,6.670,1:32.431,,,,,,,,,,,,
31,88,6.817,1:31.125,,,,,,,,,,,,
31,94,18.756,1:11.951,,,,,,,,,,,,
32,6,0,1:10.556,,,,,,,,,,,,
32,44,1.333,1:11.166,,,,,,,,,,,,
32,33,2.306,1:11.650,,,,,,,,,,,,
32,3,2.971,1:11.980,,,,,,,,,,,,
32,7,3.950,1:12.573,,,,,,,,,,,,
32,77,4.906,1:12.962,,,,,,,,,,,,
32,12,5.711,1:13.265,,,,,,,,,,,,
32,22,6.480,1:13.555,,,,,,,,,,,,
32,8,7.182,1:13.858,,,,,,,,,,,,
32,19,7.898,1:14.000,,,,,,,,,,,,
32,11,8.379,1:13.720,,,,,,,,,,,,
32,14,8.849,1:14.312,,,,,,,,,,,,
32,20,9.454,1:15.783,,,,,,,,,,,,
32,27,9.694,1:14.497,,,,,,,,,,,,
32,30,10.226,1:15.718,,,,,,,,,,,,
32,55,10.538,1:14.892,,,,,,,,,,,,
32,9,11.097,1:16.041,,,,,,,,,,,,
32,21,11.540,1:15.426,,,,,,,,,,,,
32,88,11.955,1:15.694,,,,,,,,,,,,
32,94,20.228,1:12.028,,,,,,,,,,,,
33,6,0,1:09.521,,,,,,,,,,,,
33,44,1.995,1:10.183,,,,,,,,,,,,
33,33,3.552,1:10.767,,,,,,,,,,,,
33,3,4.781,1:11.331,,,,,,,,,,,,
33,7,6.037,1:11.608,,,,,,,,,,,,
33,77,7.277,1:11.892,,,,,,,,,,,,
33,12,8.319,1:12.129,,,,,,,,,,,,
33,22,9.092,1:12.133,,,,,,,,,,,,
33,8,10.282,1:12.621,,,,,,,,,,,,
33,19,11.084,1:12.707,,,,,,,,,,,,
33,11,11.658,1:12.800,,,,,,,,,,,,
33,14,12.133,1:12.805,,,,,,,,,,,,
33,20,13.085,1:13.152,,,,,,,,,,,,
33,27,13.588,1:13.415,,,,,,,,,,,,
33,55,14.360,1:13.343,,,,,,,,,,,,
33,21,15.074,1:13.055,,,,,,,,,,,,
33,30,15.754,1:15.049,,,,,,,,,,,,
33,9,16.234,1:14.658,,,,,,,,,,,,
33,88,16.651,1:14.217,,,,,,,,,,,,
33,94,22.662,1:11.955,,,,,,,,,,,,
34,6,0,1:09.449,,,,,,,,,,,,
34,44,2.152,1:09.606,,,,,,,,,,,,
34,33,4.658,1:10.555,,,,,,,,,,,,
34,3,6.227,1:10.895,,,,,,,,,,,,
34,7,7.850,1:11.262,,,,,,,,,,,,
34,77,9.647,1:11.819,,,,,,,,,,,,
34,12,10.710,1:11.840,,,,,,,,,,,,
34,22,11.332,1:11.689,,,,,,,,,,,,
34,8,12.338,1:11.505,,,,,,,,,,,,
34,19,13.222,1:11.587,,,,,,,,,,,,
34,11,13.982,1:11.773,,,,,,,,,,,,
34,14,14.777,1:12.093,,,,,,,,,,,,
34,27,16.272,1:12.133,,,,,,,,,,,,
34,20,16.772,1:13.136,,,,,,,,,,,,
34,55,17.153,1:12.242,,,,,,,,,,,,
34,21,17.761,1:12.136,,,,,,,,,,,,
34,30,18.482,1:12.177,,,,,,,,,,,,
34,9,19.708,1:12.923,,,,,,,,,,,,
34,88,20.440,1:13.238,,,,,,,,,,,,
34,94,25.113,1:11.900,,,,,,,,,,,,
35,6,0,1:09.713,,,,,,,,,,,,
35,44,1.955,1:09.516,,,,,,,,,,,,
35,33,5.274,1:10.329,,,,,,,,,,,,
35,3,7.166,1:10.652,,,,,,,,,,,,
35,7,9.186,1:11.049,,,,,,,,,,,,
35,77,11.929,1:11.995,,,,,,,,,,,,
35,12,12.806,1:11.809,,,,,,,,,,,,
35,22,13.459,1:11.840,,,,,,,,,,,,
35,8,14.449,1:11.824,,,,,,,,,,,,
35,19,15.090,1:11.581,,,,,,,,,,,,
35,11,15.575,1:11.306,,,,,,,,,,,,
35,14,16.589,1:11.525,,,,,,,,,,,,
35,27,17.969,1:11.410,,,,,,,,,,,,
35,55,19.281,1:11.841,,,,,,,,,,,,
35,21,20.279,1:12.231,,,,,,,,,,,,
35,20,20.735,1:13.676,,,,,,,,,,,,
35,30,21.303,1:12.534,,,,,,,,,,,,
35,9,22.331,1:12.336,,,,,,,,,,,,
35,88,23.167,1:12.440,,,,,,,,,,,,
35,94,27.217,1:11.817,,,,,,,,,,,,
36,6,0,1:09.518,,,,,,,,,,,,
36,44,2.002,1:09.565,,,,,,,,,,,,
36,33,5.982,1:10.226,,,,,,,,,,,,
36,3,7.975,1:10.327,,,,,,,,,,,,
36,7,10.181,1:10.513,,,,,,,,,,,,
36,77,14.161,1:11.750,,,,,,,,,,,,
36,12,15.076,1:11.788,,,,,,,,,,,,
36,22,15.617,1:11.676,,,,,,,,,,,,
36,8,16.478,1:11.547,,,,,,,,,,,,
36,19,17.053,1:11.481,,,,,,,,,,,,
36,11,17.592,1:11.535,,,,,,,,,,,,
36,14,18.494,1:11.423,,,,,,,,,,,,
36,27,19.807,1:11.356,,,,,,,,,,,,
36,55,20.858,1:11.095,,,,,,,,,,,,
36,21,22.134,1:11.373,,,,,,,,,,,,
36,20,23.229,1:12.012,,,,,,,,,,,,
36,30,23.897,1:12.112,,,,,,,,,,,,
36,9,25.133,1:12.320,,,,,,,,,,,,
36,88,25.820,1:12.171,,,,,,,,,,,,
36,94,29.197,1:11.498,,,,,,,,,,,,
37,6,0,1:09.516,,,,,,,,,,,,
37,44,2.041,1:09.555,,,,,,,,,,,,
37,33,6.636,1:10.170,,,,,,,,,,,,
37,3,8.788,1:10.329,,,,,,,,,,,,
37,7,11.271,1:10.606,,,,,,,,,,,,
37,77,15.909,1:11.264,,,,,,,,,,,,
37,12,17.001,1:11.441,,,,,,,,,,,,
37,22,17.608,1:11.507,,,,,,,,,,,,
37,8,18.286,1:11.324,,,,,,,,,,,,
37,19,19.123,1:11.586,,,,,,,,,,,,
37,11,19.586,1:11.510,,,,,,,,,,,,
37,14,20.387,1:11.409,,,,,,,,,,,,
37,27,21.527,1:11.236,,,,,,,,,,,,
37,55,22.280,1:10.938,,,,,,,,,,,,
37,21,24.091,1:11.473,,,,,,,,,,,,
37,20,25.487,1:11.774,,,,,,,,,,,,
37,30,26.255,1:11.874,,,,,,,,,,,,
37,9,27.601,1:11.984,,,,,,,,,,,,
37,88,28.456,1:12.152,,,,,,,,,,,,
37,94,31.270,1:11.589,,,,,,,,,,,,
38,6,0,1:09.321,,,,,,,,,,,,
38,44,2.008,1:09.288,,,,,,,,,,,,
38,33,7.433,1:10.118,,,,,,,,,,,,
38,3,10.163,1:10.696,,,,,,,,,,,,
38,7,12.356,1:10.406,,,,,,,,,,,,
38,77,18.021,1:11.433,,,,,,,,,,,,
38,12,20.000,1:12.320,,,,,,,,,,,,
38,22,20.377,1:12.090,,,,,,,,,,,,
38,8,20.901,1:11.936,,,,,,,,,,,,
38,19,21.281,1:11.479,,,,,,,,,,,,
38,11,21.719,1:11.454,,,,,,,,,,,,
38,14,22.562,1:11.496,,,,,,,,,,,,
38,27,23.485,1:11.279,,,,,,,,,,,,
38,55,24.046,1:11.087,,,,,,,,,,,,
38,21,25.912,1:11.142,,,,,,,,,,,,
38,20,27.812,1:11.646,,,,,,,,,,,,
38,30,28.664,1:11.730,,,,,,,,,,,,
38,9,30.326,1:12.046,,,,,,,,,,,,
38,88,31.075,1:11.940,,,,,,,,,,,,
38,94,33.206,1:11.257,,,,,,,,,,,,
39,6,0,1:09.264,,,,,,,,,,,,
39,44,1.988,1:09.244,,,,,,,,,,,,
39,33,8.211,1:10.042,,,,,,,,,,,,
39,3,11.302,1:10.403,,,,,,,,,,,,
39,7,13.904,1:10.812,,,,,,,,,,,,
39,77,19.966,1:11.209,,,,,,,,,,,,
39,22,21.995,1:10.882,,,,,,,,,,,,
39,12,23.013,1:12.277,,,,,,,,,,,,
39,8,23.397,1:11.760,,,,,,,,,,,,
39,19,24.029,1:12.012,,,,,,,,,,,,
39,11,24.392,1:11.937,,,,,,,,,,,,
39,14,25.066,1:11.768,,,,,,,,,,,,
39,27,25.774,1:11.553,,,,,,,,,,,,
39,55,26.241,1:11.459,,,,,,,,,,,,
39,21,27.512,1:10.864,,,,,,,,,,,,
39,20,30.099,1:11.551,,,,,,,,,,,,
39,30,30.810,1:11.410,,,,,,,,,,,,
39,9,32.748,1:11.686,,,,,,,,,,,,
39,88,33.586,1:11.775,,,,,,,,,,,,
39,94,35.188,1:11.246,,,,,,,,,,,,
40,6,0,1:09.199,,,,,,,,,,,,
40,44,1.799,1:09.010,,,,,,,,,,,,
40,33,8.928,1:09.916,,,,,,,,,,,,
40,3,12.382,1:10.279,,,,,,,,,,,,
40,7,14.938,1:10.233,,,,,,,,,,,,
40,77,21.910,1:11.143,,,,,,,,,,,,
40,22,23.634,1:10.838,,,,,,,,,,,,
40,12,25.224,1:11.410,,,,,,,,,,,,
40,8,25.682,1:11.484,,,,,,,,,,,,
40,19,26.566,1:11.736,,,,,,,,,,,,
40,11,27.135,1:11.942,,,,,,,,,,,,
40,14,27.761,1:11.894,,,,,,,,,,,,
40,27,28.308,1:11.733,,,,,,,,,,,,
40,55,28.671,1:11.629,,,,,,,,,,,,
40,21,29.815,1:11.502,,,,,,,,,,,,
40,20,32.444,1:11.544,,,,,,,,,,,,
40,30,33.168,1:11.557,,,,,,,,,,,,
40,9,35.107,1:11.558,,,,,,,,,,,,
40,88,36.127,1:11.740,,,,,,,,,,,,
40,94,37.325,1:11.336,,,,,,,,,,,,
41,6,0,1:09.135,,,,,,,,,,,,
41,44,1.907,1:09.243,,,,,,,,,,,,
41,33,9.737,1:09.944,,,,,,,,,,,,
41,3,13.422,1:10.175,,,,,,,,,,,,
41,7,15.918,1:10.115,,,,,,,,,,,,
41,77,23.852,1:11.077,,,,,,,,,,,,
41,22,25.609,1:11.110,,,,,,,,,,,,
41,12,27.767,1:11.678,,,,,,,,,,,,
41,8,28.215,1:11.668,,,,,,,,,,,,
41,19,28.882,1:11.451,,,,,,,,,,,,
41,11,29.468,1:11.468,,,,,,,,,,,,
41,14,30.255,1:11.629,,,,,,,,,,,,
41,27,30.797,1:11.624,,,,,,,,,,,,
41,55,31.166,1:11.630,,,,,,,,,,,,
41,20,34.910,1:11.601,,,,,,,,,,,,
41,21,PIT,1:14.652,,,,,,,,,,,,
41,30,35.660,1:11.627,,,,,,,,,,,,
41,9,37.336,1:11.364,,,,,,,,,,,,
41,88,38.449,1:11.457,,,,,,,,,,,,
41,94,39.250,1:11.060,,,,,,,,,,,,
42,6,0,1:08.955,,,,,,,,,,,,
42,44,2.004,1:09.052,,,,,,,,,,,,
42,33,10.632,1:09.850,,,,,,,,,,,,
42,3,14.885,1:10.418,,,,,,,,,,,,
42,7,17.152,1:10.189,,,,,,,,,,,,
42,77,25.634,1:10.737,,,,,,,,,,,,
42,22,27.571,1:10.917,,,,,,,,,,,,
42,8,30.468,1:11.208,,,,,,,,,,,,
42,12,31.493,1:12.681,,,,,,,,,,,,
42,19,31.896,1:11.969,,,,,,,,,,,,
42,11,32.391,1:11.878,,,,,,,,,,,,
42,14,33.121,1:11.821,,,,,,,,,,,,
42,27,33.719,1:11.877,,,,,,,,,,,,
42,55,33.990,1:11.779,,,,,,,,,,,,
42,20,37.449,1:11.494,,,,,,,,,,,,
42,30,38.299,1:11.594,,,,,,,,,,,,
42,9,39.621,1:11.240,,,,,,,,,,,,
42,88,41.748,1:12.254,,,,,,,,,,,,
42,94,42.171,1:11.876,,,,,,,,,,,,
42,21,55.820,1:29.443,,,,,,,,,,,,
43,6,0,1:09.229,,,,,,,,,,,,
43,44,1.851,1:09.076,,,,,,,,,,,,
43,33,11.148,1:09.745,,,,,,,,,,,,
43,3,15.865,1:10.209,,,,,,,,,,,,
43,7,17.967,1:10.044,,,,,,,,,,,,
43,77,27.144,1:10.739,,,,,,,,,,,,
43,22,29.211,1:10.869,,,,,,,,,,,,
43,8,32.076,1:10.837,,,,,,,,,,,,
43,19,33.929,1:11.262,,,,,,,,,,,,
43,11,34.555,1:11.393,,,,,,,,,,,,
43,14,36.457,1:12.565,,,,,,,,,,,,
43,27,36.885,1:12.395,,,,,,,,,,,,
43,55,37.096,1:12.335,,,,,,,,,,,,
43,20,39.510,1:11.290,,,,,,,,,,,,
43,12,PIT,1:17.610,,,,,,,,,,,,
43,30,40.371,1:11.301,,,,,,,,,,,,
43,9,41.713,1:11.321,,,,,,,,,,,,
43,88,44.285,1:11.766,,,,,,,,,,,,
43,94,44.657,1:11.715,,,,,,,,,,,,
43,21,57.305,1:10.714,,,,,,,,,,,,
44,6,0,1:10.383,,,,,,,,,,,,
44,44,0.946,1:09.478,,,,,,,,,,,,
44,33,10.600,1:09.835,,,,,,,,,,,,
44,3,15.664,1:10.182,,,,,,,,,,,,
44,7,17.360,1:09.776,,,,,,,,,,,,
44,77,27.682,1:10.921,,,,,,,,,,,,
44,22,29.607,1:10.779,,,,,,,,,,,,
44,8,32.470,1:10.777,,,,,,,,,,,,
44,19,34.410,1:10.864,,,,,,,,,,,,
44,11,35.399,1:11.227,,,,,,,,,,,,
44,14,37.094,1:11.020,,,,,,,,,,,,
44,55,38.470,1:11.757,,,,,,,,,,,,
44,27,39.259,1:12.757,,,,,,,,,,,,
44,20,40.378,1:11.251,,,,,,,,,,,,
44,30,41.119,1:11.131,,,,,,,,,,,,
44,9,42.876,1:11.546,,,,,,,,,,,,
44,94,45.816,1:11.542,,,,,,,,,,,,
44,88,47.373,1:13.471,,,,,,,,,,,,
44,21,57.299,1:10.377,,,,,,,,,,,,
44,12,59.408,1:29.917,,,,,,,,,,,,
45,6,0,1:09.290,,,,,,,,,,,,
45,44,1.176,1:09.520,,,,,,,,,,,,
45,33,11.194,1:09.884,,,,,,,,,,,,
45,3,16.607,1:10.233,,,,,,,,,,,,
45,7,17.864,1:09.794,,,,,,,,,,,,
45,77,29.380,1:10.988,,,,,,,,,,,,
45,22,30.669,1:10.352,,,,,,,,,,,,
45,8,34.009,1:10.829,,,,,,,,,,,,
45,19,36.112,1:10.992,,,,,,,,,,,,
45,11,36.764,1:10.655,,,,,,,,,,,,
45,14,38.956,1:11.152,,,,,,,,,,,,
45,55,40.121,1:10.941,,,,,,,,,,,,
45,27,41.226,1:11.257,,,,,,,,,,,,
45,20,42.259,1:11.171,,,,,,,,,,,,
45,30,43.188,1:11.359,,,,,,,,,,,,
45,9,44.934,1:11.348,,,,,,,,,,,,
45,94,47.674,1:11.148,,,,,,,,,,,,
45,88,50.652,1:12.569,,,,,,,,,,,,
45,21,58.771,1:10.762,,,,,,,,,,,,
45,12,60.829,1:10.711,,,,,,,,,,,,
46,6,0,1:09.416,,,,,,,,,,,,
46,44,1.152,1:09.392,,,,,,,,,,,,
46,33,11.462,1:09.684,,,,,,,,,,,,
46,3,17.310,1:10.119,,,,,,,,,,,,
46,7,18.489,1:10.041,,,,,,,,,,,,
46,77,31.121,1:11.157,,,,,,,,,,,,
46,22,31.855,1:10.602,,,,,,,,,,,,
46,8,35.317,1:10.724,,,,,,,,,,,,
46,19,37.533,1:10.837,,,,,,,,,,,,
46,11,38.744,1:11.396,,,,,,,,,,,,
46,14,40.675,1:11.135,,,,,,,,,,,,
46,55,41.472,1:10.767,,,,,,,,,,,,
46,27,42.739,1:10.929,,,,,,,,,,,,
46,20,43.903,1:11.060,,,,,,,,,,,,
46,30,45.133,1:11.361,,,,,,,,,,,,
46,9,46.950,1:11.432,,,,,,,,,,,,
46,94,49.399,1:11.141,,,,,,,,,,,,
