lapNo,No,gap,time,,,,,,,,,,,,
46,88,53.350,1:12.114,,,,,,,,,,,,
46,21,59.996,1:10.641,,,,,,,,,,,,
46,12,61.828,1:10.415,,,,,,,,,,,,
47,6,0,1:09.319,,,,,,,,,,,,
47,44,1.311,1:09.478,,,,,,,,,,,,
47,33,12.160,1:10.017,,,,,,,,,,,,
47,3,18.181,1:10.190,,,,,,,,,,,,
47,7,19.587,1:10.417,,,,,,,,,,,,
47,77,32.937,1:11.135,,,,,,,,,,,,
47,22,33.492,1:10.956,,,,,,,,,,,,
47,8,36.563,1:10.565,,,,,,,,,,,,
47,19,39.073,1:10.859,,,,,,,,,,,,
47,11,40.443,1:11.018,,,,,,,,,,,,
47,14,42.651,1:11.295,,,,,,,,,,,,
47,55,43.146,1:10.993,,,,,,,,,,,,
47,27,44.483,1:11.063,,,,,,,,,,,,
47,20,45.638,1:11.054,,,,,,,,,,,,
47,30,47.276,1:11.462,,,,,,,,,,,,
47,9,49.124,1:11.493,,,,,,,,,,,,
47,94,51.329,1:11.249,,,,,,,,,,,,
47,88,56.033,1:12.002,,,,,,,,,,,,
47,21,61.208,1:10.531,,,,,,,,,,,,
47,12,63.064,1:10.555,,,,,,,,,,,,
48,6,0,1:09.293,,,,,,,,,,,,
48,44,1.453,1:09.435,,,,,,,,,,,,
48,33,12.674,1:09.807,,,,,,,,,,,,
48,3,18.846,1:09.958,,,,,,,,,,,,
48,7,20.127,1:09.833,,,,,,,,,,,,
48,77,34.685,1:11.041,,,,,,,,,,,,
48,22,35.482,1:11.283,,,,,,,,,,,,
48,8,37.788,1:10.518,,,,,,,,,,,,
48,19,40.661,1:10.881,,,,,,,,,,,,
48,11,41.739,1:10.589,,,,,,,,,,,,
48,55,44.865,1:11.012,,,,,,,,,,,,
48,14,46.134,1:12.776,,,,,,,,,,,,
48,27,46.804,1:11.614,,,,,,,,,,,,
48,20,47.579,1:11.234,,,,,,,,,,,,
48,30,49.415,1:11.432,,,,,,,,,,,,
48,9,50.963,1:11.132,,,,,,,,,,,,
48,94,53.291,1:11.255,,,,,,,,,,,,
48,88,58.477,1:11.737,,,,,,,,,,,,
48,21,62.258,1:10.343,,,,,,,,,,,,
48,12,64.194,1:10.423,,,,,,,,,,,,
49,6,0,1:09.224,,,,,,,,,,,,
49,44,1.578,1:09.349,,,,,,,,,,,,
49,33,13.197,1:09.747,,,,,,,,,,,,
49,3,19.594,1:09.972,,,,,,,,,,,,
49,7,20.971,1:10.068,,,,,,,,,,,,
49,77,36.524,1:11.063,,,,,,,,,,,,
49,22,37.265,1:11.007,,,,,,,,,,,,
49,8,39.272,1:10.708,,,,,,,,,,,,
49,19,42.209,1:10.772,,,,,,,,,,,,
49,11,43.384,1:10.869,,,,,,,,,,,,
49,55,46.160,1:10.519,,,,,,,,,,,,
49,14,48.170,1:11.260,,,,,,,,,,,,
49,27,49.306,1:11.726,,,,,,,,,,,,
49,30,51.660,1:11.469,,,,,,,,,,,,
49,9,53.019,1:11.280,,,,,,,,,,,,
49,20,PIT,1:14.973,,,,,,,,,,,,
49,94,55.113,1:11.046,,,,,,,,,,,,
49,88,61.646,1:12.393,,,,,,,,,,,,
49,21,63.361,1:10.327,,,,,,,,,,,,
49,12,65.564,1:10.594,,,,,,,,,,,,
50,6,0,1:09.418,,,,,,,,,,,,
50,44,1.663,1:09.503,,,,,,,,,,,,
50,33,13.469,1:09.690,,,,,,,,,,,,
50,3,20.086,1:09.910,,,,,,,,,,,,
50,7,21.296,1:09.743,,,,,,,,,,,,
50,77,38.211,1:11.105,,,,,,,,,,,,
50,22,38.883,1:11.036,,,,,,,,,,,,
50,8,40.530,1:10.676,,,,,,,,,,,,
50,19,43.546,1:10.755,,,,,,,,,,,,
50,11,44.658,1:10.692,,,,,,,,,,,,
50,55,47.159,1:10.417,,,,,,,,,,,,
50,14,49.947,1:11.195,,,,,,,,,,,,
50,27,PIT,1:14.563,,,,,,,,,,,,
50,94,56.907,1:11.212,,,,,,,,,,,,
50,30,PIT,1:15.345,,,,,,,,,,,,
50,9,PIT,1:15.254,,,,,,,,,,,,
50,21,65.232,1:11.289,,,,,,,,,,,,
50,12,67.029,1:10.883,,,,,,,,,,,,
50,88,PIT,1:16.469,,,,,,,,,,,,
51,6,0,1:09.267,,,,,,,,,,,,
51,44,1.838,1:09.442,,,,,,,,,,,,
51,20,1 LAP,1:33.444,,,,,,,,,,,,
51,33,13.854,1:09.652,,,,,,,,,,,,
51,3,20.939,1:10.120,,,,,,,,,,,,
51,7,21.996,1:09.967,,,,,,,,,,,,
51,22,40.807,1:11.191,,,,,,,,,,,,
51,8,42.025,1:10.762,,,,,,,,,,,,
51,77,PIT,1:14.304,,,,,,,,,,,,
51,19,45.003,1:10.724,,,,,,,,,,,,
51,11,46.056,1:10.665,,,,,,,,,,,,
51,55,48.260,1:10.368,,,,,,,,,,,,
51,14,52.016,1:11.336,,,,,,,,,,,,
51,94,58.631,1:10.991,,,,,,,,,,,,
51,21,66.179,1:10.214,,,,,,,,,,,,
51,12,68.544,1:10.782,,,,,,,,,,,,
52,6,0,1:09.538,,,,,,,,,,,,
52,44,1.172,1:08.872,,,,,,,,,,,,
52,30,1 LAP,1:29.148,,,,,,,,,,,,
52,27,1 LAP,1:34.492,,,,,,,,,,,,
52,20,1 LAP,1:12.237,,,,,,,,,,,,
52,9,1 LAP,1:31.792,,,,,,,,,,,,
52,33,14.022,1:09.706,,,,,,,,,,,,
52,3,21.692,1:10.291,,,,,,,,,,,,
52,7,22.206,1:09.748,,,,,,,,,,,,
52,88,1 LAP,1:35.220,,,,,,,,,,,,
52,22,41.723,1:10.454,,,,,,,,,,,,
52,8,43.313,1:10.826,,,,,,,,,,,,
52,19,46.058,1:10.593,,,,,,,,,,,,
52,11,47.036,1:10.518,,,,,,,,,,,,
52,55,48.888,1:10.166,,,,,,,,,,,,
52,14,53.695,1:11.217,,,,,,,,,,,,
52,94,60.016,1:10.923,,,,,,,,,,,,
52,77,61.836,1:28.126,,,,,,,,,,,,
52,21,66.918,1:10.277,,,,,,,,,,,,
53,6,0,1:09.310,,,,,,,,,,,,
53,44,1.028,1:09.166,,,,,,,,,,,,
53,12,1 LAP,1:13.403,,,,,,,,,,,,
53,30,1 LAP,1:10.290,,,,,,,,,,,,
53,27,1 LAP,1:10.643,,,,,,,,,,,,
53,20,1 LAP,1:11.460,,,,,,,,,,,,
53,9,1 LAP,1:10.955,,,,,,,,,,,,
53,33,14.829,1:10.117,,,,,,,,,,,,
53,3,22.337,1:09.955,,,,,,,,,,,,
53,7,23.110,1:10.214,,,,,,,,,,,,
53,88,1 LAP,1:11.107,,,,,,,,,,,,
53,22,43.122,1:10.709,,,,,,,,,,,,
53,8,44.592,1:10.589,,,,,,,,,,,,
53,19,47.269,1:10.521,,,,,,,,,,,,
53,11,48.416,1:10.690,,,,,,,,,,,,
53,55,49.919,1:10.341,,,,,,,,,,,,
53,14,55.588,1:11.203,,,,,,,,,,,,
53,94,61.788,1:11.082,,,,,,,,,,,,
53,77,62.888,1:10.362,,,,,,,,,,,,
53,21,67.932,1:10.324,,,,,,,,,,,,
54,6,0,1:09.339,,,,,,,,,,,,
54,44,PIT,1:12.496,,,,,,,,,,,,
54,12,1 LAP,1:10.824,,,,,,,,,,,,
54,30,1 LAP,1:10.228,,,,,,,,,,,,
54,27,1 LAP,1:10.309,,,,,,,,,,,,
54,20,1 LAP,1:10.872,,,,,,,,,,,,
54,9,1 LAP,1:10.848,,,,,,,,,,,,
54,33,15.963,1:10.473,,,,,,,,,,,,
54,3,23.032,1:10.034,,,,,,,,,,,,
54,7,23.695,1:09.924,,,,,,,,,,,,
54,88,1 LAP,1:10.844,,,,,,,,,,,,
54,22,44.532,1:10.749,,,,,,,,,,,,
54,8,45.833,1:10.580,,,,,,,,,,,,
54,19,48.515,1:10.585,,,,,,,,,,,,
54,11,50.018,1:10.941,,,,,,,,,,,,
54,55,51.296,1:10.716,,,,,,,,,,,,
54,14,59.475,1:13.226,,,,,,,,,,,,
54,94,63.474,1:11.025,,,,,,,,,,,,
54,77,63.936,1:10.387,,,,,,,,,,,,
54,21,70.780,1:12.187,,,,,,,,,,,,
55,6,PIT,1:13.459,,,,,,,,,,,,
55,12,1 LAP,1:11.213,,,,,,,,,,,,
55,30,1 LAP,1:10.626,,,,,,,,,,,,
55,27,1 LAP,1:10.534,,,,,,,,,,,,
55,20,1 LAP,1:10.890,,,,,,,,,,,,
55,33,12.843,1:10.339,,,,,,,,,,,,
55,9,1 LAP,1:12.074,,,,,,,,,,,,
55,44,18.694,1:27.968,,,,,,,,,,,,
55,3,20.087,1:10.514,,,,,,,,,,,,
55,7,21.047,1:10.811,,,,,,,,,,,,
55,88,1 LAP,1:10.934,,,,,,,,,,,,
55,22,41.454,1:10.381,,,,,,,,,,,,
55,8,42.815,1:10.441,,,,,,,,,,,,
55,19,45.784,1:10.728,,,,,,,,,,,,
55,11,47.062,1:10.503,,,,,,,,,,,,
55,55,48.184,1:10.347,,,,,,,,,,,,
55,14,57.434,1:11.418,,,,,,,,,,,,
55,77,60.687,1:10.210,,,,,,,,,,,,
55,94,61.561,1:11.546,,,,,,,,,,,,
55,21,67.015,1:09.694,,,,,,,,,,,,
55,"12
","73.697
","1:11.359
",,,,,,,,,,,,
55,"
30
","
77.301
","
1:10.335
",,,,,,,,,,,,
55,"
27","
80.281","
1:10.765",,,,,,,,,,,,
56,33,,1:10.279,,,,,,,,,,,,
56,20,1 LAP,1:12.125,,,,,,,,,,,,
56,9,1 LAP,1:10.818,,,,,,,,,,,,
56,6,3.384,1:26.506,,,,,,,,,,,,
56,44,4.639,1:09.067,,,,,,,,,,,,
56,3,7.194,1:10.229,,,,,,,,,,,,
56,7,7.929,1:10.004,,,,,,,,,,,,
56,88,1 LAP,1:10.734,,,,,,,,,,,,
56,22,28.709,1:10.377,,,,,,,,,,,,
56,8,30.025,1:10.332,,,,,,,,,,,,
56,11,34.983,1:11.043,,,,,,,,,,,,
56,55,35.627,1:10.565,,,,,,,,,,,,
56,19,PIT,1:14.776,,,,,,,,,,,,
56,14,45.474,1:11.162,,,,,,,,,,,,
56,77,48.209,1:10.644,,,,,,,,,,,,
56,94,49.470,1:11.031,,,,,,,,,,,,
56,21,53.977,1:10.084,,,,,,,,,,,,
56,12,62.011,1:11.436,,,,,,,,,,,,
56,30,65.000,1:10.821,,,,,,,,,,,,
56,27,67.987,1:10.828,,,,,,,,,,,,
57,33,0,1:09.671,,,,,,,,,,,,
57,20,1 LAP,1:10.450,,,,,,,,,,,,
57,9,1 LAP,1:11.016,,,,,,,,,,,,
57,6,3.054,1:09.341,,,,,,,,,,,,
57,44,4.008,1:09.040,,,,,,,,,,,,
57,3,7.596,1:10.073,,,,,,,,,,,,
57,7,8.270,1:10.012,,,,,,,,,,,,
57,88,1 LAP,1:10.780,,,,,,,,,,,,
57,22,29.560,1:10.522,,,,,,,,,,,,
57,8,30.678,1:10.324,,,,,,,,,,,,
57,11,35.897,1:10.585,,,,,,,,,,,,
57,55,36.531,1:10.575,,,,,,,,,,,,
57,14,47.208,1:11.405,,,,,,,,,,,,
57,77,49.524,1:10.986,,,,,,,,,,,,
57,94,50.940,1:11.141,,,,,,,,,,,,
57,21,54.729,1:10.423,,,,,,,,,,,,
57,19,55.493,1:27.726,,,,,,,,,,,,
57,12,64.036,1:11.696,,,,,,,,,,,,
57,30,65.963,1:10.634,,,,,,,,,,,,
57,27,69.303,1:10.987,,,,,,,,,,,,
58,33,0,1:10.022,,,,,,,,,,,,
58,6,2.348,1:09.316,,,,,,,,,,,,
58,44,3.348,1:09.362,,,,,,,,,,,,
58,20,1 LAP,1:12.360,,,,,,,,,,,,
58,9,1 LAP,1:12.193,,,,,,,,,,,,
58,7,7.870,1:09.622,,,,,,,,,,,,
58,3,9.194,1:11.620,,,,,,,,,,,,
58,88,1 LAP,1:10.638,,,,,,,,,,,,
58,22,29.900,1:10.362,,,,,,,,,,,,
58,8,31.135,1:10.479,,,,,,,,,,,,
58,11,36.430,1:10.555,,,,,,,,,,,,
58,55,37.195,1:10.686,,,,,,,,,,,,
58,14,48.654,1:11.468,,,,,,,,,,,,
58,77,50.670,1:11.168,,,,,,,,,,,,
58,94,52.008,1:11.090,,,,,,,,,,,,
58,21,55.024,1:10.317,,,,,,,,,,,,
58,19,55.964,1:10.493,,,,,,,,,,,,
58,12,65.722,1:11.708,,,,,,,,,,,,
58,30,66.468,1:10.527,,,,,,,,,,,,
59,33,0,1:10.187,,,,,,,,,,,,
59,27,1 LAP,1:12.199,,,,,,,,,,,,
59,6,1.536,1:09.375,,,,,,,,,,,,
59,44,1.905,1:08.744,,,,,,,,,,,,
59,20,1 LAP,1:10.624,,,,,,,,,,,,
59,9,1 LAP,1:10.704,,,,,,,,,,,,
59,7,7.466,1:09.783,,,,,,,,,,,,
59,3,9.413,1:10.406,,,,,,,,,,,,
59,88,1 LAP,1:10.535,,,,,,,,,,,,
59,22,30.070,1:10.357,,,,,,,,,,,,
59,8,31.384,1:10.436,,,,,,,,,,,,
59,11,36.605,1:10.362,,,,,,,,,,,,
59,55,37.327,1:10.319,,,,,,,,,,,,
59,14,49.943,1:11.476,,,,,,,,,,,,
59,77,51.574,1:11.091,,,,,,,,,,,,
59,94,52.884,1:11.063,,,,,,,,,,,,
59,21,54.881,1:10.044,,,,,,,,,,,,
59,19,55.676,1:09.899,,,,,,,,,,,,
59,12,66.901,1:11.366,,,,,,,,,,,,
59,30,67.306,1:11.025,,,,,,,,,,,,
60,33,0,1:09.840,,,,,,,,,,,,
60,6,0.464,1:08.768,,,,,,,,,,,,
60,44,1.332,1:09.267,,,,,,,,,,,,
60,27,1 LAP,1:12.207,,,,,,,,,,,,
60,20,1 LAP,1:10.765,,,,,,,,,,,,
60,9,1 LAP,1:10.902,,,,,,,,,,,,
60,7,7.584,1:09.958,,,,,,,,,,,,
60,3,PIT,1:14.102,,,,,,,,,,,,
60,88,1 LAP,1:10.380,,,,,,,,,,,,
60,22,30.519,1:10.289,,,,,,,,,,,,
60,8,31.823,1:10.279,,,,,,,,,,,,
60,11,37.269,1:10.504,,,,,,,,,,,,
60,55,37.903,1:10.416,,,,,,,,,,,,
60,14,51.432,1:11.329,,,,,,,,,,,,
60,77,52.784,1:11.050,,,,,,,,,,,,
60,94,54.040,1:10.996,,,,,,,,,,,,
60,21,55.647,1:10.606,,,,,,,,,,,,
60,19,56.268,1:10.432,,,,,,,,,,,,
60,30,68.392,1:10.926,,,,,,,,,,,,
60,12,69.984,1:12.923,,,,,,,,,,,,
61,6,0,1:09.697,,,,,,,,,,,,
61,33,0.943,1:11.104,,,,,,,,,,,,
61,44,1.354,1:10.183,,,,,,,,,,,,
61,27,1 LAP,1:11.235,,,,,,,,,,,,
61,20,1 LAP,1:11.103,,,,,,,,,,,,
61,7,7.197,1:09.774,,,,,,,,,,,,
61,9,1 LAP,1:12.138,,,,,,,,,,,,
61,88,1 LAP,1:10.718,,,,,,,,,,,,
61,22,30.787,1:10.429,,,,,,,,,,,,
61,3,32.444,1:28.930,,,,,,,,,,,,
61,8,33.426,1:11.764,,,,,,,,,,,,
61,11,37.381,1:10.273,,,,,,,,,,,,
61,55,38.160,1:10.418,,,,,,,,,,,,
61,14,52.527,1:11.256,,,,,,,,,,,,
61,77,53.881,1:11.258,,,,,,,,,,,,
61,94,54.869,1:10.990,,,,,,,,,,,,
61,21,55.848,1:10.362,,,,,,,,,,,,
61,19,57.410,1:11.303,,,,,,,,,,,,
62,6,0,1:09.779,,,,,,,,,,,,
62,30,1 LAP,1:12.409,,,,,,,,,,,,
62,33,1.318,1:10.154,,,,,,,,,,,,
62,44,1.690,1:10.115,,,,,,,,,,,,
62,12,1 LAP,1:13.590,,,,,,,,,,,,
62,27,1 LAP,1:11.613,,,,,,,,,,,,
62,7,7.465,1:10.047,,,,,,,,,,,,
62,20,1 LAP,1:12.259,,,,,,,,,,,,
62,9,1 LAP,1:11.062,,,,,,,,,,,,
62,88,1 LAP,1:10.738,,,,,,,,,,,,
62,22,31.132,1:10.124,,,,,,,,,,,,
62,3,32.237,1:09.572,,,,,,,,,,,,
62,8,34.107,1:10.460,,,,,,,,,,,,
62,11,37.985,1:10.383,,,,,,,,,,,,
62,55,38.868,1:10.487,,,,,,,,,,,,
62,14,54.038,1:11.290,,,,,,,,,,,,
62,77,55.408,1:11.306,,,,,,,,,,,,
62,94,55.958,1:10.868,,,,,,,,,,,,
62,21,56.822,1:10.753,,,,,,,,,,,,
63,6,0,1:09.163,,,,,,,,,,,,
63,44,1.517,1:08.990,,,,,,,,,,,,
63,33,2.892,1:10.737,,,,,,,,,,,,
63,30,1 LAP,1:12.740,,,,,,,,,,,,
63,12,1 LAP,1:11.422,,,,,,,,,,,,
63,7,7.734,1:09.432,,,,,,,,,,,,
63,27,1 LAP,1:12.179,,,,,,,,,,,,
63,20,1 LAP,1:11.107,,,,,,,,,,,,
63,9,1 LAP,1:11.320,,,,,,,,,,,,
63,88,1 LAP,1:10.636,,,,,,,,,,,,
63,22,32.262,1:10.293,,,,,,,,,,,,
63,3,32.864,1:09.790,,,,,,,,,,,,
63,8,35.577,1:10.633,,,,,,,,,,,,
63,11,39.172,1:10.350,,,,,,,,,,,,
63,55,40.130,1:10.425,,,,,,,,,,,,
63,77,57.737,1:11.492,,,,,,,,,,,,
63,94,58.764,1:11.969,,,,,,,,,,,,
63,21,59.581,1:11.922,,,,,,,,,,,,
63,14,59.664,1:14.789,,,,,,,,,,,,
64,6,0,1:08.794,,,,,,,,,,,,
64,19,PIT,1:19.529,,,,,,,,,,,,
64,44,1.321,1:08.598,,,,,,,,,,,,
64,33,4.421,1:10.323,,,,,,,,,,,,
64,30,1 LAP,1:11.088,,,,,,,,,,,,
64,12,1 LAP,1:11.722,,,,,,,,,,,,
64,7,8.961,1:10.021,,,,,,,,,,,,
64,27,1 LAP,1:11.358,,,,,,,,,,,,
64,20,1 LAP,1:11.238,,,,,,,,,,,,
64,9,1 LAP,1:11.874,,,,,,,,,,,,
64,88,1 LAP,1:10.749,,,,,,,,,,,,
64,22,33.623,1:10.155,,,,,,,,,,,,
64,3,33.988,1:09.918,,,,,,,,,,,,
64,8,36.783,1:10.000,,,,,,,,,,,,
64,11,40.866,1:10.488,,,,,,,,,,,,
64,55,42.628,1:11.292,,,,,,,,,,,,
64,77,60.368,1:11.425,,,,,,,,,,,,
64,94,61.309,1:11.339,,,,,,,,,,,,
64,21,62.740,1:11.953,,,,,,,,,,,,
65,6,0,1:08.654,,,,,,,,,,,,
65,44,1.109,1:08.442,,,,,,,,,,,,
65,33,5.431,1:09.664,,,,,,,,,,,,
65,14,PIT,1:25.883,,,,,,,,,,,,
65,30,1 LAP,1:11.398,,,,,,,,,,,,
65,7,9.797,1:09.490,,,,,,,,,,,,
65,12,1 LAP,1:11.560,,,,,,,,,,,,
65,20,1 LAP,1:11.289,,,,,,,,,,,,
65,9,1 LAP,1:11.502,,,,,,,,,,,,
65,88,1 LAP,1:10.874,,,,,,,,,,,,
65,27,PIT,1:22.854,,,,,,,,,,,,
65,3,34.167,1:08.833,,,,,,,,,,,,
65,22,35.963,1:10.994,,,,,,,,,,,,
65,8,38.420,1:10.291,,,,,,,,,,,,
65,11,42.714,1:10.502,,,,,,,,,,,,
65,55,44.237,1:10.263,,,,,,,,,,,,
65,77,62.972,1:11.258,,,,,,,,,,,,
65,94,63.637,1:10.982,,,,,,,,,,,,
65,21,65.369,1:11.283,,,,,,,,,,,,
66,6,0,1:08.491,,,,,,,,,,,,
66,44,1.142,1:08.524,,,,,,,,,,,,
66,33,7.169,1:10.229,,,,,,,,,,,,
66,7,10.182,1:08.876,,,,,,,,,,,,
66,30,1 LAP,1:11.980,,,,,,,,,,,,
66,12,1 LAP,1:11.287,,,,,,,,,,,,
66,20,1 LAP,1:11.265,,,,,,,,,,,,
66,9,1 LAP,1:11.737,,,,,,,,,,,,
66,88,1 LAP,1:10.776,,,,,,,,,,,,
66,3,34.446,1:08.770,,,,,,,,,,,,
66,22,37.815,1:10.343,,,,,,,,,,,,
66,8,40.135,1:10.206,,,,,,,,,,,,
66,11,44.343,1:10.120,,,,,,,,,,,,
66,55,45.975,1:10.229,,,,,,,,,,,,
66,77,65.685,1:11.204,,,,,,,,,,,,
66,94,66.312,1:11.166,,,,,,,,,,,,
66,21,67.631,1:10.753,,,,,,,,,,,,
67,6,0,1:08.768,,,,,,,,,,,,
67,44,0.785,1:08.411,,,,,,,,,,,,
67,33,8.226,1:09.825,,,,,,,,,,,,
67,7,10.587,1:09.173,,,,,,,,,,,,
67,30,1 LAP,1:10.981,,,,,,,,,,,,
67,12,1 LAP,1:11.400,,,,,,,,,,,,
67,20,1 LAP,1:11.107,,,,,,,,,,,,
67,9,1 LAP,1:11.464,,,,,,,,,,,,
67,88,1 LAP,1:10.342,,,,,,,,,,,,
67,3,35.140,1:09.462,,,,,,,,,,,,
67,22,39.243,1:10.196,,,,,,,,,,,,
67,8,41.292,1:09.925,,,,,,,,,,,,
67,11,45.795,1:10.220,,,,,,,,,,,,
67,55,47.429,1:10.222,,,,,,,,,,,,
67,77,67.798,1:10.881,,,,,,,,,,,,
67,94,68.403,1:10.859,,,,,,,,,,,,
68,6,0,1:09.925,,,,,,,,,,,,
68,44,0.488,1:09.628,,,,,,,,,,,,
68,21,1 LAP,1:12.384,,,,,,,,,,,,
68,33,8.179,1:09.878,,,,,,,,,,,,
68,7,9.752,1:09.090,,,,,,,,,,,,
68,30,1 LAP,1:11.110,,,,,,,,,,,,
68,12,1 LAP,1:11.544,,,,,,,,,,,,
68,20,1 LAP,1:11.345,,,,,,,,,,,,
68,9,1 LAP,1:11.521,,,,,,,,,,,,
68,88,1 LAP,1:10.656,,,,,,,,,,,,
68,3,34.878,1:09.663,,,,,,,,,,,,
68,22,39.488,1:10.170,,,,,,,,,,,,
68,8,41.327,1:09.960,,,,,,,,,,,,
68,11,46.005,1:10.135,,,,,,,,,,,,
68,55,47.642,1:10.138,,,,,,,,,,,,
68,77,68.952,1:11.079,,,,,,,,,,,,
68,94,69.757,1:11.279,,,,,,,,,,,,
69,6,0,1:09.898,,,,,,,,,,,,
69,44,0.450,1:09.860,,,,,,,,,,,,
69,21,1 LAP,1:10.411,,,,,,,,,,,,
69,33,7.899,1:09.618,,,,,,,,,,,,
69,7,8.926,1:09.072,,,,,,,,,,,,
69,30,1 LAP,1:11.139,,,,,,,,,,,,
69,12,1 LAP,1:10.942,,,,,,,,,,,,
69,20,1 LAP,1:10.987,,,,,,,,,,,,
69,9,1 LAP,1:11.413,,,,,,,,,,,,
69,88,1 LAP,1:10.558,,,,,,,,,,,,
69,3,34.018,1:09.038,,,,,,,,,,,,
69,22,39.715,1:10.125,,,,,,,,,,,,
69,8,41.380,1:09.951,,,,,,,,,,,,
69,11,46.494,1:10.387,,,,,,,,,,,,
69,55,48.323,1:10.579,,,,,,,,,,,,
70,6,0,1:09.253,,,,,,,,,,,,
70,44,0.599,1:09.402,,,,,,,,,,,,
70,77,1 LAP,1:12.503,,,,,,,,,,,,
70,94,1 LAP,1:12.391,,,,,,,,,,,,
70,21,1 LAP,1:10.996,,,,,,,,,,,,
70,33,8.455,1:09.809,,,,,,,,,,,,
70,7,8.873,1:09.200,,,,,,,,,,,,
70,30,1 LAP,1:11.463,,,,,,,,,,,,
70,12,1 LAP,1:11.142,,,,,,,,,,,,
70,20,1 LAP,1:11.047,,,,,,,,,,,,
70,9,1 LAP,1:11.266,,,,,,,,,,,,
70,88,1 LAP,1:11.035,,,,,,,,,,,,
70,3,34.751,1:09.986,,,,,,,,,,,,
70,22,40.463,1:10.001,,,,,,,,,,,,
70,8,42.223,1:10.096,,,,,,,,,,,,
70,55,49.886,1:10.816,,,,,,,,,,,,
71,44,0,1:13.030,,,,,,,,,,,,
71,77,1 LAP,1:13.185,,,,,,,,,,,,
71,94,1 LAP,1:13.563,,,,,,,,,,,,
71,21,1 LAP,1:13.603,,,,,,,,,,,,
71,33,5.719,1:10.893,,,,,,,,,,,,
71,7,6.024,1:10.780,,,,,,,,,,,,
71,6,16.710,1:30.339,,,,,,,,,,,,
71,30,1 LAP,1:12.345,,,,,,,,,,,,
71,12,1 LAP,1:12.330,,,,,,,,,,,,
71,"20
","1 LAP
","1:11.783
",,,,,,,,,,,,
71,"
9
",1 LAP,"
1:12.091
",,,,,,,,,,,,
71,"
88",1 LAP,"
1:12.041",,,,,,,,,,,,
71,3,30.981,1:09.859,,,,,,,,,,,,
71,22,37.706,1:10.872,,,,,,,,,,,,
71,8,39.668,1:11.074,,,,,,,,,,,,
71,55,47.400,1:11.143,,,,,,,,,,,,
