lapNo,pit,time,No,name
1 P,1,10:05:27,3,D. RICCIARDO
2,0,14:23.3,3,D. RICCIARDO
3,0,01:09.9,3,D. RICCIARDO
4,0,01:29.2,3,D. RICCIARDO
5,0,01:27.6,3,D. RICCIARDO
6,0,01:09.4,3,D. RICCIARDO
7 P,1,01:36.5,3,D. RICCIARDO
8,0,01:45.2,3,D. RICCIARDO
9,0,01:09.1,3,D. RICCIARDO
10,0,01:22.4,3,D. RICCIARDO
11,0,01:08.9,3,D. RICCIARDO
12,0,01:24.1,3,D. RICCIARDO
13,0,01:11.5,3,D. RICCIARDO
14,0,01:25.0,3,D. RICCIARDO
15 P,1,01:16.9,3,D. RICCIARDO
16,0,27:08.4,3,D. RICCIARDO
17,0,01:14.9,3,D. RICCIARDO
18,0,01:20.6,3,D. RICCIARDO
19,0,01:08.8,3,D. RICCIARDO
20,0,01:20.8,3,D. RICCIARDO
21,0,01:08.6,3,D. RICCIARDO
22,0,01:20.5,3,D. RICCIARDO
23,0,01:08.5,3,D. RICCIARDO
24 P,1,01:19.4,3,D. RICCIARDO
25,0,06:34.9,3,D. RICCIARDO
26,0,01:11.0,3,D. RICCIARDO
27,0,01:11.2,3,D. RICCIARDO
28,0,01:11.2,3,D. RICCIARDO
29,0,01:12.5,3,D. RICCIARDO
30,0,01:26.7,3,D. RICCIARDO
31,0,01:11.7,3,D. RICCIARDO
32,0,01:12.0,3,D. RICCIARDO
33,0,01:11.8,3,D. RICCIARDO
34,0,02:06.7,3,D. RICCIARDO
35 P,1,01:59.7,3,D. RICCIARDO
1 P,1,10:12:50,5,S. VETTEL
2,0,08:14.9,5,S. VETTEL
3,0,01:10.7,5,S. VETTEL
4,0,01:09.4,5,S. VETTEL
5,0,01:12.4,5,S. VETTEL
6,0,01:09.1,5,S. VETTEL
7,0,01:30.7,5,S. VETTEL
8,0,01:15.3,5,S. VETTEL
9,0,01:08.9,5,S. VETTEL
10,0,01:13.4,5,S. VETTEL
11,0,01:09.7,5,S. VETTEL
12,0,01:12.8,5,S. VETTEL
13 P,1,01:17.5,5,S. VETTEL
14 P,1,02:04.4,5,S. VETTEL
15,0,24:28.6,5,S. VETTEL
16,0,01:32.9,5,S. VETTEL
17,0,01:12.5,5,S. VETTEL
18,0,01:08.0,5,S. VETTEL
19,0,01:15.8,5,S. VETTEL
20,0,01:09.3,5,S. VETTEL
21 P,1,01:28.2,5,S. VETTEL
22,0,16:06.6,5,S. VETTEL
23,0,01:12.5,5,S. VETTEL
24,0,01:08.4,5,S. VETTEL
25,0,01:27.1,5,S. VETTEL
26,0,01:12.4,5,S. VETTEL
27,0,01:25.6,5,S. VETTEL
28 P,1,02:02.4,5,S. VETTEL
1,0,10:16:28,6,N. ROSBERG
2,0,01:10.6,6,N. ROSBERG
3,0,01:17.4,6,N. ROSBERG
4,0,01:09.2,6,N. ROSBERG
5,0,01:29.2,6,N. ROSBERG
6,0,01:11.3,6,N. ROSBERG
7,0,01:28.7,6,N. ROSBERG
8,0,01:08.2,6,N. ROSBERG
9,0,01:30.6,6,N. ROSBERG
10,0,01:21.2,6,N. ROSBERG
11,0,01:08.6,6,N. ROSBERG
12 P,1,01:17.0,6,N. ROSBERG
13 P,1,02:03.3,6,N. ROSBERG
14 P,1,02:09.9,6,N. ROSBERG
15,0,15:36.3,6,N. ROSBERG
16,0,01:07.6,6,N. ROSBERG
17,0,01:46.6,6,N. ROSBERG
18,0,01:26.7,6,N. ROSBERG
19,0,01:07.4,6,N. ROSBERG
20,0,01:50.9,6,N. ROSBERG
21,0,01:42.2,6,N. ROSBERG
22 P,1,01:30.6,6,N. ROSBERG
23,0,08:00.2,6,N. ROSBERG
24,0,01:07.7,6,N. ROSBERG
25 P,1,01:19.8,6,N. ROSBERG
26 P,1,06:06.7,6,N. ROSBERG
27,0,02:01.9,6,N. ROSBERG
28,0,01:10.4,6,N. ROSBERG
29,0,01:10.4,6,N. ROSBERG
30,0,01:11.0,6,N. ROSBERG
31,0,01:12.5,6,N. ROSBERG
32,0,01:16.6,6,N. ROSBERG
33,0,01:19.4,6,N. ROSBERG
34 P,1,01:17.9,6,N. ROSBERG
35,0,02:23.5,6,N. ROSBERG
36,0,01:51.3,6,N. ROSBERG
37 P,1,01:56.7,6,N. ROSBERG
1 P,1,10:01:51,7,K. RAIKKONEN
2,0,"
18:13.660",7,K. RAIKKONEN
3,0,01:10.1,7,K. RAIKKONEN
"4
",0,"1:22.935
",7,K. RAIKKONEN
"
5
",0,"
1:13.747
",7,K. RAIKKONEN
"
6",0,"
1:11.869",7,K. RAIKKONEN
7,0,01:26.9,7,K. RAIKKONEN
8,0,01:21.2,7,K. RAIKKONEN
9,0,01:09.4,7,K. RAIKKONEN
10,0,01:09.6,7,K. RAIKKONEN
11 P,1,01:25.9,7,K. RAIKKONEN
12 P,1,01:59.4,7,K. RAIKKONEN
13,0,25:49.7,7,K. RAIKKONEN
14,0,01:32.2,7,K. RAIKKONEN
15,0,01:36.1,7,K. RAIKKONEN
16,0,01:14.5,7,K. RAIKKONEN
"17
",0,"1:08.222
",7,K. RAIKKONEN
"
18",0,"
1:13.379",7,K. RAIKKONEN
19,0,01:14.5,7,K. RAIKKONEN
"20
",0,"1:11.047
",7,K. RAIKKONEN
"
21 P
",1,"
1:30.524
",7,K. RAIKKONEN
"
22 P",1,"
1:51.077",7,K. RAIKKONEN
23,0,11:59.4,7,K. RAIKKONEN
24,0,01:09.5,7,K. RAIKKONEN
25,0,01:10.2,7,K. RAIKKONEN
26,0,01:12.3,7,K. RAIKKONEN
27,0,01:10.5,7,K. RAIKKONEN
28,0,01:18.8,7,K. RAIKKONEN
29,0,01:12.4,7,K. RAIKKONEN
30,0,02:16.4,7,K. RAIKKONEN
31 P,1,01:47.1,7,K. RAIKKONEN
1 P,1,10:03:19,8,R. GROSJEAN
"
2",0,"
14:12.650",8,R. GROSJEAN
3,0,01:14.3,8,R. GROSJEAN
"4
",0,"1:11.959
",8,R. GROSJEAN
"
5
",0,"
1:12.925
",8,R. GROSJEAN
"
6",0,"
1:17.190",8,R. GROSJEAN
7,0,01:16.5,8,R. GROSJEAN
8,0,01:11.0,8,R. GROSJEAN
9,0,02:31.6,8,R. GROSJEAN
10,0,01:14.4,8,R. GROSJEAN
11,0,01:10.7,8,R. GROSJEAN
12,0,01:11.8,8,R. GROSJEAN
13 P,1,01:23.9,8,R. GROSJEAN
14,0,26:05.4,8,R. GROSJEAN
15,0,01:18.3,8,R. GROSJEAN
16,0,01:40.6,8,R. GROSJEAN
17,0,01:30.4,8,R. GROSJEAN
"18
",0,"1:09.947
",8,R. GROSJEAN
"
19",0,"
1:16.253",8,R. GROSJEAN
20,0,01:16.4,8,R. GROSJEAN
"21
",0,"1:14.074
",8,R. GROSJEAN
"
22
",0,"
1:10.160
",8,R. GROSJEAN
"
23",0,"
1:16.970",8,R. GROSJEAN
24,0,01:09.5,8,R. GROSJEAN
25,0,01:10.3,8,R. GROSJEAN
26 P,1,01:23.7,8,R. GROSJEAN
27,0,09:40.9,8,R. GROSJEAN
28,0,01:20.6,8,R. GROSJEAN
29,0,01:20.7,8,R. GROSJEAN
30,0,01:09.5,8,R. GROSJEAN
31,0,01:18.2,8,R. GROSJEAN
32,0,01:09.1,8,R. GROSJEAN
33,0,01:37.7,8,R. GROSJEAN
34 P,1,01:54.2,8,R. GROSJEAN
1 P,1,10:02:54,9,M. ERICSSON
"
2",0,"
14:01.319",9,M. ERICSSON
3,0,01:15.5,9,M. ERICSSON
"4
",0,"1:13.082
",9,M. ERICSSON
"
5
",0,"
1:12.892
",9,M. ERICSSON
"
6",0,"
1:12.576",9,M. ERICSSON
7,0,01:17.8,9,M. ERICSSON
8,0,01:11.7,9,M. ERICSSON
9,0,01:11.2,9,M. ERICSSON
10 P,1,01:32.8,9,M. ERICSSON
11,0,01:33.2,9,M. ERICSSON
12,0,01:19.2,9,M. ERICSSON
13,0,01:12.5,9,M. ERICSSON
14,0,01:11.2,9,M. ERICSSON
15,0,01:11.4,9,M. ERICSSON
16 P,1,01:20.3,9,M. ERICSSON
"17
",0,"35:22.655
",9,M. ERICSSON
"
18",0,"
1:20.143",9,M. ERICSSON
"19
",0,"1:10.831
",9,M. ERICSSON
"
20",0,"
1:20.614",9,M. ERICSSON
21,0,01:10.5,9,M. ERICSSON
"22
",0,"1:17.852
",9,M. ERICSSON
"
23
",0,"
1:10.507
",9,M. ERICSSON
"
24",0,"
1:23.444",9,M. ERICSSON
25,0,01:09.9,9,M. ERICSSON
26,0,01:23.6,9,M. ERICSSON
27,0,01:10.7,9,M. ERICSSON
28,0,01:25.6,9,M. ERICSSON
29,0,01:10.0,9,M. ERICSSON
30,0,01:22.9,9,M. ERICSSON
31,0,01:12.0,9,M. ERICSSON
32,0,01:21.6,9,M. ERICSSON
33,0,01:10.8,9,M. ERICSSON
34,0,01:47.7,9,M. ERICSSON
35 P,1,01:53.8,9,M. ERICSSON
1 P,1,10:01:54,12,F. NASR
2,0,19:00.0,12,F. NASR
3,0,01:13.6,12,F. NASR
4,0,01:12.7,12,F. NASR
5,0,01:11.8,12,F. NASR
6,0,01:19.0,12,F. NASR
7,0,01:32.8,12,F. NASR
8,0,01:15.1,12,F. NASR
9,0,01:11.6,12,F. NASR
10,0,01:15.4,12,F. NASR
11,0,01:10.9,12,F. NASR
12,0,01:18.9,12,F. NASR
13,0,01:10.6,12,F. NASR
14 P,1,01:20.4,12,F. NASR
15 P,1,01:52.2,12,F. NASR
16,0,41:22.6,12,F. NASR
17,0,01:10.3,12,F. NASR
18,0,01:16.4,12,F. NASR
19,0,01:10.6,12,F. NASR
20,0,01:15.2,12,F. NASR
21,0,01:25.6,12,F. NASR
22,0,01:10.7,12,F. NASR
23 P,1,01:25.6,12,F. NASR
24,0,01:49.6,12,F. NASR
25,0,01:32.6,12,F. NASR
26 P,1,01:58.2,12,F. NASR
1 P,1,10:03:11,14,F. ALONSO
2 P,1,02:24.1,14,F. ALONSO
3,0,12:09.4,14,F. ALONSO
4,0,01:11.6,14,F. ALONSO
5 P,1,01:26.5,14,F. ALONSO
6,0,01:39.6,14,F. ALONSO
7,0,01:10.7,14,F. ALONSO
8,0,01:18.2,14,F. ALONSO
9,0,01:10.5,14,F. ALONSO
10 P,1,01:36.6,14,F. ALONSO
11,0,33:28.6,14,F. ALONSO
12,0,01:42.6,14,F. ALONSO
13,0,01:14.1,14,F. ALONSO
14,0,01:15.8,14,F. ALONSO
15,0,01:10.7,14,F. ALONSO
16,0,01:19.0,14,F. ALONSO
17,0,01:09.6,14,F. ALONSO
18,0,01:20.5,14,F. ALONSO
19,0,01:09.7,14,F. ALONSO
20 P,1,01:31.9,14,F. ALONSO
21,0,09:45.8,14,F. ALONSO
22,0,01:12.4,14,F. ALONSO
23,0,01:12.3,14,F. ALONSO
24,0,01:12.1,14,F. ALONSO
25,0,01:12.3,14,F. ALONSO
26,0,01:12.3,14,F. ALONSO
27,0,01:11.9,14,F. ALONSO
28,0,01:11.6,14,F. ALONSO
29,0,01:41.0,14,F. ALONSO
30 P,1,01:49.0,14,F. ALONSO
1 P,11,10:02:16,19,F. MASSA
2,0,14:23.6,19,F. MASSA
3,0,01:11.0,19,F. MASSA
4,0,01:14.9,19,F. MASSA
5,0,01:10.7,19,F. MASSA
6,0,01:10.1,19,F. MASSA
7,0,01:23.7,19,F. MASSA
8,0,01:10.2,19,F. MASSA
9,0,01:13.9,19,F. MASSA
10,0,01:27.7,19,F. MASSA
11,0,01:21.8,19,F. MASSA
12,0,01:10.3,19,F. MASSA
13,0,01:16.6,19,F. MASSA
14,0,01:10.1,19,F. MASSA
15 P,1,01:18.2,19,F. MASSA
16 P,1,01:39.0,19,F. MASSA
17,0,17:25.5,19,F. MASSA
18,0,01:09.3,19,F. MASSA
19,0,01:22.5,19,F. MASSA
20,0,01:18.5,19,F. MASSA
21,0,01:08.8,19,F. MASSA
22,0,01:19.9,19,F. MASSA
23,0,01:09.1,19,F. MASSA
24 P,1,01:38.3,19,F. MASSA
25 P,1,01:41.8,19,F. MASSA
26,0,14:16.2,19,F. MASSA
27,0,01:11.2,19,F. MASSA
28,0,01:11.3,19,F. MASSA
29,0,01:11.4,19,F. MASSA
30,0,01:11.9,19,F. MASSA
31,0,01:11.9,19,F. MASSA
32,0,01:12.5,19,F. MASSA
33,0,01:15.7,19,F. MASSA
34,0,01:13.5,19,F. MASSA
35,0,01:13.0,19,F. MASSA
36,0,01:12.9,19,F. MASSA
37,0,01:13.4,19,F. MASSA
38,0,01:36.9,19,F. MASSA
39 P,1,01:42.9,19,F. MASSA
1 P,1,10:01:59,20,K. MAGNUSSEN
2 P,1,02:13.0,20,K. MAGNUSSEN
3,0,23:09.8,20,K. MAGNUSSEN
4,0,01:21.7,20,K. MAGNUSSEN
5,0,01:12.3,20,K. MAGNUSSEN
6,0,01:11.8,20,K. MAGNUSSEN
7,0,01:16.2,20,K. MAGNUSSEN
8,0,01:10.4,20,K. MAGNUSSEN
9,0,01:10.8,20,K. MAGNUSSEN
10,0,01:10.7,20,K. MAGNUSSEN
11,0,01:11.5,20,K. MAGNUSSEN
12,0,01:22.2,20,K. MAGNUSSEN
13 P,1,01:17.8,20,K. MAGNUSSEN
14,0,27:15.0,20,K. MAGNUSSEN
15,0,01:09.8,20,K. MAGNUSSEN
16,0,01:09.9,20,K. MAGNUSSEN
17 P,1,01:21.0,20,K. MAGNUSSEN
18,0,01:56.1,20,K. MAGNUSSEN
19,0,01:11.1,20,K. MAGNUSSEN
20,0,01:09.7,20,K. MAGNUSSEN
21 P,1,01:22.9,20,K. MAGNUSSEN
22,0,14:16.2,20,K. MAGNUSSEN
23,0,01:40.3,20,K. MAGNUSSEN
24 P,1,01:51.8,20,K. MAGNUSSEN
1 P,1,10:02:21,21,E. GUTIERREZ
2,0,22:56.6,21,E. GUTIERREZ
3,0,01:27.4,21,E. GUTIERREZ
4,0,01:22.9,21,E. GUTIERREZ
5,0,01:12.8,21,E. GUTIERREZ
6,0,01:11.9,21,E. GUTIERREZ
7,0,01:16.0,21,E. GUTIERREZ
8,0,01:10.9,21,E. GUTIERREZ
9,0,01:18.8,21,E. GUTIERREZ
10,0,01:10.5,21,E. GUTIERREZ
11,0,01:12.4,21,E. GUTIERREZ
12 P,1,02:12.6,21,E. GUTIERREZ
13,0,45:47.9,21,E. GUTIERREZ
14,0,01:14.9,21,E. GUTIERREZ
15,0,01:17.1,21,E. GUTIERREZ
16,0,01:10.1,21,E. GUTIERREZ
17,0,01:10.3,21,E. GUTIERREZ
18,0,01:12.2,21,E. GUTIERREZ
19,0,01:47.8,21,E. GUTIERREZ
20 P,1,01:49.0,21,E. GUTIERREZ
1 P,1,10:03:03,22,J. BUTTON
2,0,17:54.8,22,J. BUTTON
3,0,01:20.2,22,J. BUTTON
4,0,01:11.1,22,J. BUTTON
5,0,01:17.2,22,J. BUTTON
6,0,01:10.1,22,J. BUTTON
7,0,01:35.5,22,J. BUTTON
